symbol,timeframe,date,signal_type,side,entry,stop,tp,rvol,atr14,atr_pct,hh20,ll20,volume,close,status,created_at
ATOMUSDT,240,1772049600,BREAKOUT_SHORT,SHORT,1.9345,1.9768,1.8499,7.3279177571788,0.0585714285714286,0.0302772957205627,2.2775,1.9768,6167357.5,1.9345,PAPER_OPENED,1772064068
ARCUSDT,240,1772049600,BREAKOUT_SHORT,SHORT,0.05805,0.08428,0.00559,9.76812581814432,0.0129285714285714,0.22271440876092,0.13237,0.08428,568421727.0,0.05805,PAPER_OPENED,1772064060
DOTUSDT,240,1772049600,BREAKOUT_LONG,LONG,1.6619,1.6395,1.7067,5.68229992016733,0.0607285714285714,0.0365416519818108,1.6395,1.2241,40205569.8,1.6619,BLOCKED_OPEN,1772064037
SANDUSDT,240,1772035200,BREAKOUT_LONG,LONG,0.09163,0.08674,0.10141,3.60001093170639,0.00235214285714286,0.0256700082630455,0.08674,0.07632,34808944.0,0.09163,BLOCKED_OPEN,1772049692
MONUSDT,240,1772035200,BREAKOUT_LONG,LONG,0.022064,0.021574,0.023044,2.16577910424454,0.000749000000000001,0.0339467005076143,0.021574,0.018619,128882225.0,0.022064,BLOCKED_OPEN,1772049675
ONDOUSDT,240,1772035200,BREAKOUT_LONG,LONG,0.2843,0.2721,0.3087,2.61621897548747,0.00727142857142858,0.0255766041907442,0.2721,0.2417,22304724.0,0.2843,BLOCKED_OPEN,1772049671
FILUSDT,240,1772035200,BREAKOUT_LONG,LONG,1.1019,1.0752,1.1553,5.23701182738429,0.0308357142857143,0.0279841313056668,1.0752,0.8624,10355457.0,1.1019,BLOCKED_OPEN,1772049669
ICPUSDT,240,1772035200,BREAKOUT_LONG,LONG,2.444,2.312,2.708,3.60070804549379,0.0684285714285715,0.0279985971475334,2.312,2.012,3203641.1,2.444,BLOCKED_OPEN,1772049668
1000BONKUSDT,240,1772035200,BREAKOUT_LONG,LONG,0.006568,0.006332,0.00704,2.12784158808323,0.000172142857142857,0.0262093266051853,0.006332,0.005702,745484800.0,0.006568,BLOCKED_OPEN,1772049660
PENGUUSDT,240,1772035200,BREAKOUT_LONG,LONG,0.007439,0.00727,0.007777,2.31752966261857,0.000222571428571429,0.0299195360359496,0.00727,0.006088,914121750.0,0.007439,BLOCKED_OPEN,1772049656
HBARUSDT,240,1772035200,BREAKOUT_LONG,LONG,0.10418,0.10187,0.1088,2.40460939116723,0.00216785714285714,0.0208087650495022,0.10187,0.09263,74875133.0,0.10418,BLOCKED_OPEN,1772049654
APTUSDT,240,1772035200,BREAKOUT_LONG,LONG,1.056,0.9583,1.2514,3.5946940405024,0.0329571428571428,0.0312094155844156,0.9583,0.788,15336383.82,1.056,BLOCKED_OPEN,1772049644
NEARUSDT,240,1772035200,BREAKOUT_LONG,LONG,1.1984,1.1141,1.367,3.6130516062395,0.0337714285714286,0.0281804310509251,1.1141,0.9529,16411892.9,1.1984,BLOCKED_OPEN,1772049642
DOTUSDT,240,1772035200,BREAKOUT_LONG,LONG,1.6307,1.5538,1.7845,3.20069829556765,0.0523071428571428,0.0320764965089488,1.5538,1.2241,19806613.3,1.6307,BLOCKED_OPEN,1772049639
AVAXUSDT,240,1772035200,BREAKOUT_LONG,LONG,9.745,9.599,10.037,2.78939651395495,0.244428571428572,0.0250824598695302,9.599,8.172,2282877.1,9.745,BLOCKED_OPEN,1772049637
LINKUSDT,240,1772035200,BREAKOUT_LONG,LONG,9.472,9.331,9.754,2.10660485077587,0.2155,0.0227512668918919,9.331,8.047,2205904.8,9.472,BLOCKED_OPEN,1772049632
ADAUSDT,240,1772035200,BREAKOUT_LONG,LONG,0.3028,0.2925,0.3234,3.13057392996692,0.00749285714285715,0.0247452349499906,0.2925,0.2534,130791405.0,0.3028,BLOCKED_OPEN,1772049630
POWERUSDT,240,1772035200,BREAKOUT_LONG,LONG,0.936,0.92222,0.96356,2.36878867399455,0.125694285714286,0.134288766788767,0.92222,0.34397,63751606.0,0.936,BLOCKED_OPEN,1772049628
